(0, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 253], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [5, 0, 16, 31, 16, 1, 2, 1, 0, 320], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [460, 0, 16, 31, 16, 1, 2, 2, 0, 529], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [360, 0, 18, 31, 16, 1, 2, 2, 0, 530], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [815, 0, 20, 31, 16, 1, 2, 2, 2, 703], 'reward': 19.49191959603112, 'action': None, 'done': True})

[0, 0, 0, 1, 1, 0, 2, 3, 2, 3, 9]
(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 122], 'reward': -1, 'action': 1, 'done': False})
(1, {'state': [0, 0, 15, 15, 14, 1, 1, 0, 0, 168], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [95, 0, 15, 23, 15, 1, 1, 0, 0, 235], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [5, 0, 16, 23, 15, 1, 1, 0, 0, 259], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [630, 0, 16, 31, 16, 1, 2, 1, 0, 535], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [480, 0, 18, 31, 16, 1, 2, 1, 0, 536], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [380, 0, 18, 31, 16, 1, 2, 1, 0, 537], 'reward': -1, 'action': 3, 'done': False})
