(9, {'state': [900, 0, 20, 31, 16, 1, 2, 2, 2, 739], 'reward': 10640, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [140, 0, 16, 23, 16, 1, 1, 0, 0, 209], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 212], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [635, 0, 18, 23, 16, 1, 2, 1, 1, 492], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [485, 0, 18, 23, 16, 1, 2, 2, 1, 493], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [385, 0, 20, 23, 16, 1, 2, 2, 2, 494], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1035, 0, 20, 23, 16, 1, 2, 2, 2, 741], 'reward': 10627, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [145, 0, 16, 23, 16, 1, 1, 0, 0, 211], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 212], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [605, 0, 18, 23, 16, 1, 2, 1, 1, 491], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [515, 0, 20, 23, 16, 1, 2, 1, 2, 492], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1170, 0, 20, 23, 16, 1, 2, 1, 2, 740], 'reward': 10634, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [35, 0, 15, 23, 15, 1, 2, 1, 0, 210], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 217], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 18, 23, 16, 1, 2, 2, 1, 482], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [330, 0, 18, 31, 16, 1, 2, 2, 1, 483], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [230, 0, 20, 31, 16, 1, 2, 2, 2, 484], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [700, 0, 20, 31, 16, 1, 2, 2, 2, 664], 'reward': 11135, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [35, 0, 15, 23, 15, 1, 2, 1, 0, 210], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 217], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 2, 0, 278], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 18, 23, 16, 1, 2, 2, 1, 486], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [330, 0, 20, 23, 16, 1, 2, 2, 2, 487], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [805, 0, 20, 23, 16, 1, 2, 2, 2, 662], 'reward': 11148, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [40, 0, 15, 23, 15, 1, 2, 1, 0, 209], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 212], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [575, 0, 18, 23, 16, 1, 2, 1, 1, 479], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [435, 0, 18, 23, 16, 1, 2, 2, 1, 480], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [335, 0, 18, 31, 16, 1, 2, 2, 1, 481], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [235, 0, 20, 31, 16, 1, 2, 2, 2, 482], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [875, 0, 20, 31, 16, 1, 2, 2, 2, 728], 'reward': 10712, 'action': None, 'done': True})

(0, {'state': [0, 0, 13, 15, 13, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 14, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 23, 14, 1, 1, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
